2020-04-20 10:34:31 status unpacked php-composer-semver:all 1.4.2-1
2020-04-20 10:34:31 status half-configured php-composer-semver:all 1.4.2-1
2020-04-20 10:34:31 status installed php-composer-semver:all 1.4.2-1
2020-04-20 10:34:31 configure php-cli-prompt:all 1.0.3+dfsg-1 <none>
2020-04-20 10:34:31 status unpacked php-cli-prompt:all 1.0.3+dfsg-1
2020-04-20 10:34:31 status half-configured php-cli-prompt:all 1.0.3+dfsg-1
2020-04-20 10:34:31 status installed php-cli-prompt:all 1.0.3+dfsg-1
2020-04-20 10:34:31 configure php-composer-spdx-licenses:all 1.3.0-1 <none>
2020-04-20 10:34:31 status unpacked php-composer-spdx-licenses:all 1.3.0-1
2020-04-20 10:34:31 status half-configured php-composer-spdx-licenses:all 1.3.0-1
2020-04-20 10:34:31 status installed php-composer-spdx-licenses:all 1.3.0-1
2020-04-20 10:34:31 configure php-symfony-filesystem:all 3.4.6+dfsg-1ubuntu0.1 <none>
2020-04-20 10:34:31 status unpacked php-symfony-filesystem:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 status half-configured php-symfony-filesystem:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 status installed php-symfony-filesystem:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 configure php-symfony-polyfill-mbstring:all 1.6.0-2 <none>
2020-04-20 10:34:31 status unpacked php-symfony-polyfill-mbstring:all 1.6.0-2
2020-04-20 10:34:31 status half-configured php-symfony-polyfill-mbstring:all 1.6.0-2
2020-04-20 10:34:31 status installed php-symfony-polyfill-mbstring:all 1.6.0-2
2020-04-20 10:34:31 configure jsonlint:all 1.7.1-1 <none>
2020-04-20 10:34:31 status unpacked jsonlint:all 1.7.1-1
2020-04-20 10:34:31 status half-configured jsonlint:all 1.7.1-1
2020-04-20 10:34:31 status installed jsonlint:all 1.7.1-1
2020-04-20 10:34:31 configure php-symfony-process:all 3.4.6+dfsg-1ubuntu0.1 <none>
2020-04-20 10:34:31 status unpacked php-symfony-process:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 status half-configured php-symfony-process:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 status installed php-symfony-process:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 configure php-symfony-debug:all 3.4.6+dfsg-1ubuntu0.1 <none>
2020-04-20 10:34:31 status unpacked php-symfony-debug:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 status half-configured php-symfony-debug:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 status installed php-symfony-debug:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 configure php-symfony-console:all 3.4.6+dfsg-1ubuntu0.1 <none>
2020-04-20 10:34:31 status unpacked php-symfony-console:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 status half-configured php-symfony-console:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 status installed php-symfony-console:all 3.4.6+dfsg-1ubuntu0.1
2020-04-20 10:34:31 configure composer:all 1.6.3-1 <none>
2020-04-20 10:34:31 status unpacked composer:all 1.6.3-1
2020-04-20 10:34:31 status half-configured composer:all 1.6.3-1
2020-04-20 10:34:31 status installed composer:all 1.6.3-1
